"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Glob_sevanje_min","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","PM10","O3","mesec","letni_cas","dan"
"2177","Ljubljana",12,1.625,0,1.2,0.6125,0.3,2.4,1.7125,1.1,0.3375,2.7,978.7,978.3375,978,96.5,95.05,94,-0.4,-0.8375,-1.2,1.9,1.55,1.2,30.4,24.45,2,"zima","nedelja"
"1606","Ljubljana",4,0.5,0,1.5,1,0.6,3.8,2.4875,1.4,0.025,0.9,968.1,967.8625,967.6,86.1,82.6125,80,-7,-7.6125,-8.3,-2.2,-2.6,-2.8,59.2,59.05,1,"zima","torek"
"1997","Ljubljana",122,20.5,0,1,0.575,0.3,2.9,1.8,1.2,0,0.6,977.3,975.7625,974.6,86.1,82.05,74.3,1.2,-0.275,-1.2,7.3,5.4125,4.5,33.8,59.2,3,"spomlad","sreda"
"158","Koper",494,109,0,2.3,1.6,0.9,3.6,2.7,1.5,0,0,1015.1,1014.775,1014.6,81.1,75.1125,65.8,17.8,16.4625,15.8,27.4,24.35,22.7,20.9,120.1,6,"spomlad","èetrtek"
"1654","Ljubljana",206,31.75,0,0.8,0.525,0.1,2.4,1.725,1.1,0,0,984.7,983.8375,983.4,84,78.75,73.5,6.9,6.05,5.3,8.4,6.2875,4.6,48.1,125.5,3,"zima","torek"
"1331","Ljubljana",187,31.25,0,2.4,1.575,1,5.4,3.55,2.2,0,0.3,980.9,980.5,980.3,72.2,66.125,59.6,-3.9,-4.6,-6.1,2.9,1.1125,-0.3,38.6,92.5,3,"spomlad","sobota"
"658","Koper",5,0.625,0,2.8,2.5125,2.3,6.6,5.55,4.7,0,0,1020.7,1019.3,1018.5,57.2,53.9125,52.2,-1.7,-2.2875,-2.6,9.3,9.2125,9.1,35.3,50.35,11,"jesen","sreda"
"201","Koper",395,80.875,0,2.7,1.85,0.9,4.2,3.1125,2,0,0,1015.1,1014.55,1014.2,66,62.4375,55.5,19.9,17.6125,16.8,28.2,25.4875,23.7,34.2,183.75,8,"poletje","torek"
"246","Koper",102,20.25,0,1.7,1.15,0.7,3,2.1875,1.5,0,0,1026,1025.05,1024.6,60.7,57.15,53.2,4.6,4.1125,3.6,18.8,18,16.6,13.3,95.2,9,"poletje","nedelja"
"2056","Ljubljana",386,97.625,0,1,0.5,0.3,3.5,2.3875,1.6,0,0,975.4,974.9375,974.7,92,84.5875,73,7.2,5.5375,4.9,16,13.425,11.6,10.9,90.1,5,"spomlad","torek"
"90","Koper",109,18,0,2.8,2.3625,1.8,9.3,6.8,4.4,0,0,1004.1,1003.55,1003.3,52.4,51.325,49.8,-4.6,-5.1625,-5.6,9.7,8.6875,8,12.6,100.35,4,"spomlad","sreda"
